Impl,N,ns,ns/op
optimized,4500,7879047000,2.439792
optimized,3500,4345280900,2.224555
optimized,500,119960400,3.018601
optimized,2000,1640066600,2.572344
optimized,3000,3413453400,2.378910
optimized,2000,1433750800,2.248750
optimized,3500,3796529500,1.943623
optimized,3500,4055034100,2.075964
optimized,500,52035900,1.309395
optimized,4500,6393500300,1.979784
optimized,3000,2518150500,1.754954
optimized,5000,8571267100,2.149629
optimized,4000,4480809600,1.756155
optimized,500,115272900,2.900648
optimized,5000,7553187400,1.894300
optimized,3000,3545040400,2.470616
optimized,1000,407165700,2.557332
optimized,5000,7622246300,1.911619
optimized,4000,4399262200,1.724195
optimized,2000,886253500,1.390034
optimized,5000,7731805300,1.939096
optimized,3500,3462760700,1.772751
optimized,5000,6598581100,1.654890
optimized,4000,4986780200,1.954460
optimized,1500,774504900,2.160307
optimized,3500,3530835900,1.807602
