N,ns/op
500.0,0.994097
300.0,0.88229
2600.0,0.950469
1500.0,1.013579
900.0,1.055165
1500.0,1.047764
1600.0,0.936337
3400.0,0.914501
400.0,0.869447
2300.0,1.014757
700.0,0.889947
1700.0,0.972493
2300.0,1.014872
1100.0,0.957267
1300.0,1.025645
3000.0,0.960106
100.0,1.092836
1700.0,1.045096
2900.0,0.968167
2200.0,1.021263
1200.0,0.959958
100.0,0.858918
300.0,0.877195
700.0,1.104559
900.0,1.09398
2900.0,0.976782
1000.0,0.967231
200.0,1.047007
600.0,0.932538
4800.0,0.874642
4400.0,1.069414
1700.0,0.904182
3800.0,0.972407
2500.0,1.023283
900.0,1.038942
4700.0,0.969247
100.0,1.333449
100.0,1.090976
3500.0,1.01508
1000.0,0.994183
4200.0,0.873127
1500.0,0.904579
3500.0,0.906151
2000.0,0.900915
2700.0,0.943114
1100.0,1.049877
2100.0,1.068541
4500.0,0.999102
2700.0,1.020622
700.0,0.913181
1400.0,0.89493
2100.0,1.042506
1000.0,0.959901
4200.0,1.015233
3700.0,0.98827
2800.0,0.892945
1300.0,1.046898
4100.0,1.013434
2500.0,0.969268
4300.0,0.951908
3300.0,1.017057
2700.0,0.875229
2800.0,1.047921
2600.0,1.009767
3400.0,1.004458
1000.0,1.054089
400.0,0.878058
4800.0,0.9709
2000.0,1.053243
1600.0,0.931032
1900.0,0.998571
3600.0,0.930611
4700.0,0.902239
1600.0,0.944434
3500.0,0.913667
100.0,1.100399
3800.0,0.941598
3300.0,0.869785
4900.0,0.883929
3300.0,0.958373
4300.0,0.891854
100.0,1.027552
4600.0,0.937352
500.0,0.871088
3300.0,1.010731
700.0,1.062175
4000.0,0.912489
3700.0,0.958073
3400.0,1.006307
3800.0,1.326859
2200.0,1.22432
4700.0,1.213207
3300.0,1.199976
4400.0,1.190075
2900.0,1.176111
1800.0,1.187164
1800.0,1.22513
2200.0,1.263611
400.0,1.110477
1000.0,1.329591
1900.0,1.351212
3300.0,1.195368
1800.0,1.266522
4800.0,1.174274
3800.0,1.167849
2300.0,1.284385
2300.0,1.150997
2500.0,1.175931
800.0,1.257827
2100.0,1.196044
3500.0,1.200954
400.0,1.180939
600.0,1.334158
4500.0,1.193345
1700.0,1.145526
400.0,1.261996
1300.0,1.137492
300.0,1.066966
2600.0,0.933853
200.0,1.071933
4000.0,1.012882
3800.0,1.027049
4700.0,0.950818
500.0,0.951097
300.0,1.070863
4400.0,0.961105
4100.0,1.109377
3400.0,1.055936
4500.0,1.058734
3300.0,1.019196
500.0,1.310968
2800.0,1.014176
3200.0,0.995328
2700.0,0.947027
2500.0,1.079644
2800.0,1.05965
700.0,1.071318
3800.0,1.030888
600.0,1.092266
4700.0,0.969251
1900.0,0.960177
4500.0,1.004164
4800.0,1.057093
1700.0,1.021868
3200.0,1.035478
1300.0,1.115743
600.0,1.046239
1200.0,1.05217
2900.0,1.076252
100.0,0.959602
3100.0,1.035237
300.0,1.03897
2700.0,1.024633
3100.0,1.008435
4400.0,1.00379
1400.0,1.116145
3800.0,1.022254
2900.0,0.89508
2200.0,0.925731
3700.0,0.911865
2100.0,1.033211
2800.0,0.937555
3900.0,0.906439
2400.0,1.038375
3900.0,0.990666
2700.0,0.992971
4100.0,0.921537
500.0,1.0444
4100.0,0.933835
2800.0,0.885979
3900.0,0.965796
3800.0,1.024409
1800.0,0.959712
3400.0,0.931127
2500.0,0.889421
4600.0,0.915115
3700.0,0.932116
3000.0,0.885561
1800.0,0.891492
1700.0,0.906977
1800.0,0.889978
1400.0,0.926269
4800.0,0.938281
4000.0,0.88363
2500.0,0.889772
500.0,0.993623
1500.0,1.005144
700.0,0.860551
4500.0,0.891491
2100.0,0.880736
100.0,1.317392
4100.0,0.966834
4900.0,0.91382
800.0,0.880018
200.0,0.952764
3700.0,0.876064
400.0,0.960598
4300.0,0.889679
4500.0,0.985481
3500.0,0.927926
4800.0,0.894697
2600.0,0.909242
4100.0,0.890013
3600.0,0.898533
2400.0,0.901111
3600.0,0.946703
4200.0,0.930167
3700.0,0.870709
1100.0,0.900163
1100.0,0.993388
2900.0,1.006656
4500.0,0.912383
2300.0,0.888722
4900.0,0.951395
2900.0,1.061002
4600.0,0.906856
4100.0,0.923336
4300.0,0.867282
100.0,0.937035
3200.0,0.857819
2000.0,0.906991
4100.0,0.922276
2300.0,0.951006
4500.0,0.982808
2900.0,1.082114
3100.0,0.893289
2000.0,1.038737
2500.0,1.013906
3600.0,0.987798
1800.0,1.030564
4100.0,1.038017
2100.0,0.970015
1100.0,1.025603
800.0,1.084094
4500.0,0.945061
400.0,1.048553
3500.0,1.026662
100.0,1.364634
2900.0,0.872578
800.0,1.055187
1200.0,0.888281
2000.0,0.91522
1400.0,0.899719
1900.0,0.992696
900.0,0.889549
4600.0,0.97072
3600.0,0.874856
3300.0,0.87632
1100.0,1.026882
2700.0,0.994634
2500.0,1.054776
2100.0,0.93682
1600.0,0.886995
4300.0,0.879707
4200.0,0.892097
2200.0,1.049981
400.0,1.047524
1500.0,0.966591
100.0,1.071012
2600.0,0.870373
3200.0,0.866465
1000.0,1.021033
2500.0,0.893545
4100.0,0.881967
3200.0,0.874704
1700.0,1.040055
400.0,0.861617
4700.0,0.874433
3800.0,0.927738
1700.0,0.865765
200.0,0.910863
3600.0,0.8691
2500.0,0.873921
2700.0,0.911875
800.0,0.949951
2300.0,0.882967
1100.0,1.038859
