Impl,N,ns,ns/op
naive,4500,1748589600,0.5259407959548602
naive,2000,341062700,0.5195983841285459
naive,5000,2190945000,0.533728825196289
naive,3500,1117479000,0.5556925576864767
naive,2500,546384600,0.5326811847569022
naive,5000,2137594500,0.5207322873148568
naive,3500,1084406200,0.539246334695393
naive,5000,2154389200,0.524823588329042
naive,1500,217244100,0.5885736823773463
optimized,4500,547998200,0.1696907868965662
optimized,3500,321112100,0.16439249878641848
optimized,3500,326897100,0.1673541143888185
optimized,1500,60760300,0.16947717342300428
optimized,3000,254513600,0.17737605549700267
optimized,1000,29040600,0.1823985791896465
optimized,2500,175909100,0.17655919094104494
optimized,3000,250493900,0.1745746392650948
optimized,4000,418622000,0.16406974552669673
optimized,4000,413834400,0.16219335032127605
optimized,2000,109960100,0.1724656629897782
optimized,2000,106662000,0.16729279571240588
optimized,500,6589800,0.16582117945466074
optimized,4000,452046300,0.17716966955220892
optimized,3000,257562900,0.17950117889326522
optimized,1500,62658000,0.17477038020448554
optimized,3500,321767500,0.16472802910030146
optimized,4500,534868300,0.1656250380257246
optimized,500,7079500,0.1781436523034494
optimized,2000,111384200,0.1746992763701202
optimized,1000,27970700,0.17567873731740546
optimized,1500,66184500,0.18460675777464605
optimized,4500,566270600,0.1753489403986923
optimized,2500,172600200,0.17323806254629545
optimized,2000,113472600,0.17797480349848632
optimized,4000,432510600,0.16951307881477543
optimized,3000,246319700,0.17166554862767666
optimized,5000,669368900,0.16787421334586666
optimized,2500,177579000,0.1782352622355513
optimized,4000,436139400,0.170935307681312
optimized,4500,552231700,0.17100171446225274
optimized,500,8000500,0.20131906070396877
optimized,5000,673473700,0.16890367568112322
optimized,5000,670625200,0.16818928680420392
optimized,4000,417652900,0.16368992795764895
optimized,500,6471200,0.1628368109027589
optimized,1500,61380800,0.1712079184342859
optimized,1500,56786800,0.1583939900187698
optimized,4500,580583800,0.17978110490399166
optimized,1000,28525200,0.1791614481484716
optimized,3000,255841800,0.178301706923532
optimized,3000,253363700,0.17657466521288426
optimized,500,6680200,0.16809594266791478
optimized,500,7897300,0.1987222071242363
optimized,1000,26113800,0.1640158955821364
optimized,3000,242055800,0.16869394411210786
optimized,500,8174700,0.20570250928526135
